u,v,key,osmid,highway,lanes,maxspeed,oneway,ref,reversed,length,geometry,name,bridge,access,tunnel,junction
83896468,83938319,0,10182736,tertiary,,,FALSE,,FALSE,41.51539455,"LINESTRING (-73.42893 41.4432276, -73.4285584 41.4434762)",Forty Acre Mountain Road,,,,
83896468,882484587,0,10182736,tertiary,,,FALSE,,TRUE,40.65562576,"LINESTRING (-73.42893 41.4432276, -73.4293639 41.4430606)",Forty Acre Mountain Road,,,,
83896876,854532527,0,10168940,residential,,,FALSE,,TRUE,146.7873818,"LINESTRING (-73.4859546 41.3917678, -73.4857987 41.3916886, -73.4853703 41.3915933, -73.4851263 41.3915491, -73.4849515 41.3915186, -73.4847151 41.3914712, -73.4845531 41.3914316, -73.4844189 41.3913706, -73.4843248 41.3913123)",Scuppo Road,,,,
83896876,854532370,0,71896690,residential,,,FALSE,,FALSE,242.4601332,"LINESTRING (-73.4859546 41.3917678, -73.4862922 41.3917489, -73.4866798 41.3917248, -73.4867683 41.3916946, -73.4868022 41.391631, -73.4868236 41.3915264, -73.4867914 41.3914217, -73.4859382 41.3903132)",Butternut Lane,,,,
83896876,854532418,0,71896692,residential,,,FALSE,,FALSE,321.1776664,"LINESTRING (-73.4859546 41.3917678, -73.486075 41.3920236, -73.4861584 41.3923071, -73.4862764 41.3926371, -73.4865768 41.3929832, -73.4869845 41.3933212, -73.48751 41.3937571, -73.4880145 41.3941261)",Boxwood Lane,,,,
83896881,83921600,0,10186342,residential,,,FALSE,,TRUE,54.79929991,"LINESTRING (-73.4773964 41.3936148, -73.477714 41.3940462)",Fairlawn Avenue,,,,
83896881,83896883,0,10163698,residential,,,FALSE,,FALSE,28.08364835,"LINESTRING (-73.4773964 41.3936148, -73.4773621 41.3936921, -73.4772763 41.3937629, -73.4771818 41.3937886)",Fairlawn Avenue,,,,
83896881,84020663,0,10186342,residential,,,FALSE,,FALSE,242.5018656,"LINESTRING (-73.4773964 41.3936148, -73.4772934 41.3934796, -73.4771647 41.3933379, -73.4765896 41.3928228, -73.4760229 41.3923379, -73.4755511 41.3919342)",Fairlawn Avenue,,,,
83896883,83896881,0,10163698,residential,,,FALSE,,TRUE,28.08364835,"LINESTRING (-73.4771818 41.3937886, -73.4772763 41.3937629, -73.4773621 41.3936921, -73.4773964 41.3936148)",Fairlawn Avenue,,,,
83896883,83921600,0,10166328,residential,,,FALSE,,FALSE,52.96626404,"LINESTRING (-73.4771818 41.3937886, -73.4774104 41.3938795, -73.477714 41.3940462)",Westville Avenue,,,,
83896883,83921598,0,10166328,residential,,,FALSE,,TRUE,94.514235,"LINESTRING (-73.4771818 41.3937886, -73.4770327 41.3937636, -73.4768353 41.3937636, -73.4766036 41.3938086, -73.4760972 41.3939567)",Westville Avenue,,,,
83897272,1783208240,0,192031478,motorway_link,1,,TRUE,,FALSE,13.54964201,"LINESTRING (-73.5166489 41.3894891, -73.5164882 41.3895068)",,,,,
83897272,331628779,0,"[151542545, 192029075, 151542532]",tertiary,,30 mph,TRUE,,FALSE,163.8872565,"LINESTRING (-73.5166489 41.3894891, -73.5165596 41.3892408, -73.5164455 41.3889453, -73.5164031 41.3888411, -73.5163902 41.3888113, -73.5163708 41.3887705, -73.5163544 41.3887391, -73.516327 41.3886926, -73.516293 41.3886405, -73.5162602 41.3885959, -73.5162201 41.3885478, -73.5162014 41.3885267, -73.5158509 41.3881617)",Old Ridgebury Road,yes,,,
83897279,84067562,0,660071257,secondary,,25 mph,FALSE,,FALSE,248.5649817,"LINESTRING (-73.5334779 41.3780934, -73.5334154 41.377896, -73.5333203 41.3776017, -73.5332369 41.3773605, -73.5331413 41.377096, -73.5331106 41.3769966, -73.5330803 41.3768267, -73.5331043 41.3766244, -73.5331753 41.3763591, -73.5332029 41.3762176, -73.5332042 41.3761284, -73.5331829 41.3760672, -73.5330852 41.3759207)",Saw Mill Road,,,,
