osmid,y,x,street_count,highway,ref,geometry
7018504607,41.4101982,-73.4639595,3,,,POINT (-73.4639595 41.4101982)
7018508004,41.4006082,-73.4849021,3,,,POINT (-73.4849021 41.4006082)
7105665438,41.3849966,-73.5224078,3,,,POINT (-73.5224078 41.3849966)
7105665443,41.3851626,-73.520803,1,turning_circle,,POINT (-73.520803 41.3851626)
7105665444,41.3841233,-73.5197767,3,,,POINT (-73.5197767 41.3841233)
7105665456,41.3872593,-73.5244205,1,,,POINT (-73.5244205 41.3872593)
7105665465,41.3857213,-73.523007,3,,,POINT (-73.523007 41.3857213)
7105665470,41.3874328,-73.5236306,1,,,POINT (-73.5236306 41.3874328)
7105665473,41.386966,-73.5233624,3,,,POINT (-73.5233624 41.386966)
7105665482,41.386827,-73.5240764,4,,,POINT (-73.5240764 41.386827)
7105674488,41.3864448,-73.5243923,3,,,POINT (-73.5243923 41.3864448)
7105674493,41.3857687,-73.5242481,3,,,POINT (-73.5242481 41.3857687)
7105674494,41.3863663,-73.5248778,1,turning_circle,,POINT (-73.5248778 41.3863663)
7222969129,41.4174538,-73.4374914,1,turning_circle,,POINT (-73.4374914 41.4174538)
7242320658,41.4066964,-73.4873939,3,,,POINT (-73.4873939 41.4066964)
7385582124,41.4309129,-73.4427307,3,,,POINT (-73.4427307 41.4309129)
7385582125,41.4310316,-73.442065,1,,,POINT (-73.442065 41.4310316)
7387638990,41.4413198,-73.4222787,3,,,POINT (-73.4222787 41.4413198)
7387638997,41.439569,-73.4235944,1,,,POINT (-73.4235944 41.439569)
7387717881,41.427296,-73.4864357,1,,,POINT (-73.4864357 41.427296)
7387809840,41.4204352,-73.4093401,3,,,POINT (-73.4093401 41.4204352)
7387809845,41.4210978,-73.4090543,1,,,POINT (-73.4090543 41.4210978)
7396432958,41.4463774,-73.4306002,1,,,POINT (-73.4306002 41.4463774)
7396436606,41.3996399,-73.4184351,1,,,POINT (-73.4184351 41.3996399)
7396636947,41.4387384,-73.5243817,1,turning_circle,,POINT (-73.5243817 41.4387384)
7396636960,41.4362284,-73.5233128,3,,,POINT (-73.5233128 41.4362284)
7401809036,41.4242352,-73.4840701,1,,,POINT (-73.4840701 41.4242352)
7401809050,41.4241739,-73.4862632,3,,,POINT (-73.4862632 41.4241739)
7401809487,41.4091418,-73.4890141,3,,,POINT (-73.4890141 41.4091418)
7401809510,41.4087754,-73.4864312,1,,,POINT (-73.4864312 41.4087754)
7401809511,41.4090531,-73.4889446,3,,,POINT (-73.4889446 41.4090531)
7401809526,41.408705,-73.4901001,1,,,POINT (-73.4901001 41.408705)
7401860285,41.4079512,-73.4624658,3,,,POINT (-73.4624658 41.4079512)
7401860286,41.4075463,-73.4624348,1,,,POINT (-73.4624348 41.4075463)
7424368752,41.4001225,-73.4570035,2,,,POINT (-73.4570035 41.4001225)
7424842332,41.401159,-73.4257029,3,traffic_signals,,POINT (-73.4257029 41.401159)
7429008096,41.4195218,-73.4838948,3,,,POINT (-73.4838948 41.4195218)
7432047675,41.3958036,-73.5064171,1,,,POINT (-73.5064171 41.3958036)
7455249664,41.3882356,-73.5333122,3,,,POINT (-73.5333122 41.3882356)
7455249676,41.3882359,-73.5331869,3,,,POINT (-73.5331869 41.3882359)
7455249678,41.388024,-73.5331037,3,,,POINT (-73.5331037 41.388024)
7455417885,41.3803353,-73.523512,1,,,POINT (-73.523512 41.3803353)
7455429490,41.385343,-73.5179696,3,,,POINT (-73.5179696 41.385343)
7455429491,41.3851081,-73.5177448,3,,,POINT (-73.5177448 41.3851081)
7455429494,41.3853855,-73.5176887,3,,,POINT (-73.5176887 41.3853855)
7455429496,41.3851173,-73.5177119,3,,,POINT (-73.5177119 41.3851173)
7455429498,41.3852746,-73.5180036,3,,,POINT (-73.5180036 41.3852746)
7455429513,41.3853701,-73.517662,3,,,POINT (-73.517662 41.3853701)
